V1	sum
k101_10741	407
k101_107417	501
k101_107438	87
k101_10744	2314
k101_107440	202
k101_10745	428
k101_10746	575
k101_107465	97
k101_107470	193
k101_107480	1109
k101_107486	522
k101_107494	90
k101_107499	287
k101_10750	31
k101_107505	334
k101_107509	493
k101_10751	42906
k101_107510	197
k101_107515	937
k101_107516	30
k101_107535	2018
k101_107541	1148
k101_10755	2260
k101_10756	582
k101_107567	25
k101_107568	28
k101_107583	111
k101_107597	33
k101_1076	659
k101_107607	114
k101_107613	78
k101_107623	176
k101_107625	143
k101_107629	79
k101_107639	37
k101_107652	76
k101_107653	121
k101_107657	57
k101_107671	76
k101_107679	1348
k101_1077	2230
k101_107723	74
k101_107738	48
k101_10774	47
k101_107743	37
k101_107748	209
k101_107754	82
k101_107756	25
k101_107759	810
k101_107761	23
k101_107771	304
k101_107779	87
k101_10778	104
k101_107786	37
k101_10780	109
k101_107812	89
k101_107815	80
k101_10782	361
k101_107820	40
k101_107849	941
k101_10787	1717
k101_107871	46
k101_107891	49
k101_107895	185
k101_107901	250
k101_10791	107
k101_107923	287
k101_107925	1091
k101_107928	56
k101_107930	38
k101_107932	170
k101_107938	38
k101_107939	253
k101_107943	36
k101_107952	584
k101_10796	87
k101_107963	363
k101_107990	227
k101_107991	160
k101_1080	92
k101_108001	61
k101_108003	2271
k101_108009	114
k101_108015	144
k101_10802	43
k101_108020	59
k101_10804	19973
k101_108042	59
k101_108045	267
k101_10805	180
k101_108051	12377
k101_108053	40
k101_108064	168
k101_10807	138
k101_108079	710
k101_108085	75
k101_108097	7390
k101_1081	64
k101_108110	174
k101_108111	56
k101_108114	205
k101_108122	80
k101_108123	1677
k101_108125	140
k101_108133	38
k101_108136	31
k101_108137	1675
k101_10814	27
k101_108143	78
k101_108147	404
k101_10815	234
k101_108155	123751
k101_108162	22
k101_108166	103
k101_108172	35
k101_108174	39
k101_108182	295
k101_10819	61
k101_108194	143
k101_108199	122
k101_108233	152
k101_108235	186
k101_108243	363
k101_108249	157
k101_108258	65
k101_10826	207
k101_108270	130
k101_108273	348
k101_10828	522
k101_10829	247
k101_108292	218
k101_108297	3686
k101_108298	132
k101_108310	81
k101_10832	748
k101_108321	236
k101_108322	78
k101_10833	28
k101_108335	48
k101_108339	125
k101_10834	136
k101_108340	3394
k101_108343	36
k101_10835	83
k101_108350	110
k101_108356	224
k101_10836	690
k101_108384	33
k101_108385	52
k101_108390	471
k101_108395	37353
k101_108398	98
k101_108433	497
k101_108450	2932
k101_108454	2211
k101_108459	164
k101_108472	47
k101_108493	237
k101_108509	330
k101_10852	40
k101_108521	95
k101_108522	34
k101_108523	119
k101_108525	45
k101_108528	117
k101_108532	71
k101_108534	124
k101_10854	28437
k101_108547	672
k101_108554	126
k101_108555	59
k101_108558	13
k101_108568	338
k101_108585	32
k101_108595	42
k101_108626	60
k101_108627	41
k101_10863	233
k101_108635	153
k101_108642	546
k101_108646	496
k101_10865	346
k101_108657	16
k101_108660	12
k101_108670	12946
k101_108682	514
k101_108690	63
k101_108697	44
k101_108699	37
k101_10870	64
k101_108700	182
k101_108707	89
k101_108715	84
k101_108722	117
k101_10873	28922
k101_108731	78
k101_108732	96
k101_108738	333
k101_108739	42
k101_108749	460
k101_108755	49
k101_108761	172
k101_108775	96
k101_108779	1327
k101_108780	148
k101_108789	342
k101_108791	280
k101_108799	35996
k101_10880	104
k101_108814	34
k101_108818	261
k101_108834	5408
k101_108862	350
k101_108867	86
k101_10888	436
k101_108882	195
k101_108884	100
k101_108889	17551
k101_108892	366
k101_108893	3410
k101_108895	384
k101_10890	182
k101_108903	40
k101_108921	152
k101_108944	40
k101_108947	11382
k101_108948	79
k101_108951	63
k101_108956	403
k101_108970	114
k101_108978	32
k101_108982	12138
k101_108983	51
k101_108985	37
k101_108988	46
k101_108989	43
k101_108999	164
k101_10900	693
k101_109004	366
k101_109007	1103
k101_109013	329
k101_109020	39
k101_109022	196
k101_109043	450
k101_109058	173
k101_109059	91123
k101_10906	61
k101_109092	113
k101_1091	389
k101_10910	54
k101_109103	43
k101_109118	461
k101_109121	49
k101_109122	114
k101_109123	80
k101_109125	25
k101_10913	138
k101_109148	160
k101_109151	109
k101_109155	208
k101_109159	310
k101_109175	70
k101_109189	48
k101_10919	372
k101_109193	23
k101_109197	173
k101_1092	762
k101_109200	208169
k101_109208	58
k101_109210	35
k101_109213	125
k101_109218	586
k101_109233	237
k101_109237	371
k101_10924	208
k101_109260	125
k101_109280	920
k101_109282	36
k101_10929	51
k101_10930	398
k101_109300	86
k101_109302	525
k101_109304	95
k101_10932	72
k101_109324	291
k101_10933	9655
k101_109330	4008
k101_109333	54
k101_109350	45
k101_10936	121
k101_109369	280
k101_109384	418
k101_109392	29
k101_109398	156
k101_1094	55
k101_10940	119
k101_10941	200
k101_10942	501
k101_109420	261
k101_109421	551
k101_109448	58
k101_10945	283
k101_109460	134
k101_109472	177
k101_109485	77
k101_10950	72
k101_109500	187
k101_109502	55
k101_10951	721
k101_109510	79
k101_109521	259
k101_109538	41
k101_10955	52
k101_109560	46
k101_109561	39
k101_10957	40
k101_109571	83
k101_109575	157
k101_109585	158
k101_109591	846
k101_109611	277
k101_109616	38
k101_109617	267
k101_10964	91
k101_109641	555
k101_109645	78
k101_109648	569
k101_10965	684
k101_10966	55
k101_109669	467
k101_109682	74
k101_109690	240
k101_109692	37
k101_109697	1384
k101_109725	462
k101_109727	103
k101_109744	233
k101_109749	71
k101_109750	262
k101_109755	64
k101_10976	59
k101_10977	2813
k101_109779	2501
k101_109794	162
k101_109825	67
k101_109827	71
k101_109846	38
k101_109847	34
k101_109855	54
k101_10986	131
k101_109863	308
k101_1099	63
k101_109902	42
k101_10991	84
k101_109936	743
k101_109940	47
k101_109942	35
k101_109952	53
k101_109953	107
k101_109959	31
k101_109979	2601
k101_10998	242
k101_109984	119
k101_109991	156
k101_109996	2858
k101_110	453
k101_110001	107
k101_110009	37
k101_110012	143
k101_110014	4462
k101_110017	144
k101_110022	383
k101_110033	462
k101_110036	370
k101_110038	122
k101_110057	180
k101_11006	249
k101_110061	132
k101_110073	89
k101_110074	52
k101_11009	193
k101_110090	245
k101_110103	99
k101_110104	1501
k101_110110	27
k101_110112	2291
k101_11013	516
k101_110163	171
k101_110202	84
k101_110203	80
k101_110227	273
k101_110235	83515
k101_110237	62
k101_110242	35
k101_110246	198
k101_11026	109
k101_11027	401
k101_11028	2549
k101_110283	22
k101_11029	8708
k101_110296	36
k101_110305	21745
k101_110315	118
k101_110316	165
k101_11032	242
k101_110321	293
k101_110348	19
k101_11035	35951
k101_110358	89
k101_110361	36
k101_110363	853
k101_110370	39
k101_110371	154
k101_110374	121
k101_110381	51
k101_110403	54
k101_110414	35
k101_110424	118
k101_110426	71
k101_110436	66
k101_110437	135
k101_110442	311
k101_110445	26
k101_110493	28
k101_110494	108
