contig	count
contig-100_2_49	6963
contig-100_4_52	2280
contig-100_214_1	318
contig-100_81_5	317
contig-100_51_12	8
contig-100_191_3	411
contig-100_504_3	1
contig-100_35_2	9156
contig-100_509_2	3
contig-100_22_13	1285
contig-100_0_21	11515
contig-100_72_2	2712
contig-100_74_11	2
contig-100_25_18	467
contig-100_1_53	1708
contig-100_210_4	3
contig-100_24_10	10936
contig-100_209_3	6
contig-100_2_4	5317
contig-100_327_3	10
contig-100_80_2	11935
contig-100_28_4	35975
contig-100_178_4	61
contig-100_252_2	34
contig-100_144_6	32
contig-100_24_2	11500
contig-100_318_1	386862
contig-100_309_2	28
contig-100_8_2	11270
contig-100_216_3	20
contig-100_20_2	26883
contig-100_116_2	321
contig-100_420_1	188
contig-100_3_2	16608
contig-100_44_4	1193
contig-100_461_2	35
contig-100_17_25	142
contig-100_2_7	24632
contig-100_99_8	26
contig-100_303_2	34
contig-100_232_1	1828
contig-100_8_40	232
contig-100_1_51	1014
contig-100_173_4	3
contig-100_68_6	22
contig-100_0_23	30270
contig-100_1_49	1289
contig-100_52_7	12469
contig-100_310_1	81
contig-100_31_4	147533
contig-100_98_1	1648
contig-100_117_5	26
contig-100_158_3	114
contig-100_4_45	2058
contig-100_486_1	18
contig-100_230_1	58
contig-100_217_1	1682
contig-100_15_1	239363
contig-100_1_31	23942
contig-100_140_3	193
contig-100_174_5	37
contig-100_3_24	24501
contig-100_360_1	28
contig-100_476_2	9
contig-100_93_4	216
contig-100_157_5	127
contig-100_11_5	27343
contig-100_30_7	9733
contig-100_102_2	341
contig-100_192_6	21
contig-100_290_3	8
contig-100_0_14	13347
contig-100_329_2	1
contig-100_70_6	22
contig-100_5_12	3765
contig-100_15_28	345
contig-100_261_3	531
contig-100_181_1	481
contig-100_53_6	876
contig-100_9_4	4731
contig-100_443_2	6
contig-100_247_2	16
contig-100_7_24	1301
contig-100_73_4	98
contig-100_5_4	10184
contig-100_38_4	1289
contig-100_12_16	1230
contig-100_77_5	104
contig-100_105_1	3727
contig-100_49_6	312
contig-100_3_15	19258
contig-100_173_1	5537
contig-100_358_1	51
contig-100_5_47	1012
contig-100_7_14	5304
contig-100_132_5	180
contig-100_97_1	9037
contig-100_92_6	2
contig-100_294_3	2
contig-100_407_2	26
contig-100_552_2	2
contig-100_381_1	3967
contig-100_38_1	32179
contig-100_264_2	23
contig-100_40_1	31738
contig-100_241_1	11056
contig-100_4_73	275
contig-100_5_37	1243
contig-100_224_2	158
contig-100_1_20	13841
contig-100_151_3	482
contig-100_122_1	1952
contig-100_118_3	126
contig-100_318_2	14
contig-100_90_4	15
contig-100_104_3	312
contig-100_19_5	7362
contig-100_27_4	28582
contig-100_83_2	16294
contig-100_171_3	167
contig-100_131_1	3890
contig-100_103_6	6
contig-100_111_2	485
contig-100_67_7	6
contig-100_18_6	7671
contig-100_74_4	213
contig-100_155_3	780
contig-100_6_5	40691
contig-100_270_2	113
contig-100_324_2	2
contig-100_61_6	108
contig-100_165_1	1713
contig-100_1_36	5522
contig-100_7_34	7385
contig-100_94_3	15256
contig-100_92_2	3772
contig-100_128_2	158
contig-100_19_4	2452
contig-100_223_2	143
contig-100_528_1	47
contig-100_95_1	1082
contig-100_3_9	5737
contig-100_45_9	2196
contig-100_425_2	4
contig-100_395_2	2
contig-100_285_1	22
contig-100_306_2	12
contig-100_9_5	5146
contig-100_167_2	305
contig-100_27_10	343
contig-100_384_2	2
contig-100_125_4	1501
contig-100_33_6	388
contig-100_64_2	14227
contig-100_3_40	4322
contig-100_344_2	43
contig-100_464_2	13
contig-100_148_3	18
contig-100_426_2	12
contig-100_2_36	1665
contig-100_3_10	30899
contig-100_56_4	24619
contig-100_164_1	672
contig-100_354_3	17358
contig-100_4_12	12475
contig-100_48_7	18217
contig-100_0_104	4860
contig-100_4_8	28960
contig-100_515_1	10
contig-100_305_1	88
contig-100_86_1	931
contig-100_41_10	73
contig-100_323_1	1697
contig-100_198_1	703
contig-100_492_3	34
contig-100_51_9	36
contig-100_237_2	282
contig-100_36_10	26
contig-100_31_1	203561
contig-100_13_11	6132
contig-100_74_8	39
contig-100_186_1	265
contig-100_21_11	23
contig-100_4_55	2336
contig-100_220_1	103
contig-100_500_1	19
contig-100_17_15	884
contig-100_398_1	17
contig-100_138_4	35
contig-100_47_3	2880
contig-100_194_1	91
contig-100_69_1	431559
contig-100_251_1	6099
contig-100_50_10	11
contig-100_167_5	6
contig-100_58_8	23
contig-100_34_8	2300
contig-100_96_6	4
contig-100_195_2	259
contig-100_2_13	1050
contig-100_332_2	6
contig-100_524_1	76
contig-100_298_3	12
contig-100_419_1	30
contig-100_1_63	2524
contig-100_467_2	7
contig-100_91_3	359
contig-100_3_5	13765
contig-100_140_5	7
contig-100_4_23	2708
contig-100_21_9	5508
contig-100_7_44	307
contig-100_10_21	570
contig-100_1_17	21033
contig-100_159_2	107500
contig-100_219_1	330
contig-100_550_1	26
contig-100_244_1	58
contig-100_146_5	23
contig-100_233_2	114
contig-100_113_5	4
contig-100_79_3	222
contig-100_51_4	3985
contig-100_311_2	4
contig-100_273_3	6577
contig-100_150_4	4
contig-100_56_1	19919
contig-100_4_18	4367
contig-100_81_1	8189
contig-100_190_5	30394
contig-100_26_13	223
contig-100_334_2	9
contig-100_210_1	2985
contig-100_16_15	400
contig-100_2_1	6343
contig-100_215_1	2728
contig-100_19_18	478
contig-100_100_4	1575
contig-100_32_1	8317
contig-100_107_4	762
contig-100_360_2	5
contig-100_152_4	34
contig-100_19_11	883
contig-100_258_4	6
contig-100_5_20	950
contig-100_9_25	473
contig-100_172_3	32
contig-100_13_23	360
contig-100_438_1	5841
contig-100_0_100	414
contig-100_8_27	2667
contig-100_19_13	537
contig-100_323_3	3
contig-100_2_12	2094
contig-100_31_8	369
contig-100_1_45	1479
contig-100_14_5	30533
contig-100_32_3	9729
contig-100_12_24	945
contig-100_226_2	774
contig-100_11_23	675
contig-100_46_5	556
contig-100_28_10	229
contig-100_154_4	2
contig-100_63_8	4
contig-100_3_28	2214
contig-100_59_5	393
contig-100_75_8	29
contig-100_120_1	7630
contig-100_105_4	922
contig-100_9_17	1338
contig-100_295_2	15
contig-100_44_9	137
contig-100_84_5	68
contig-100_11_27	5320
contig-100_3_33	23328
contig-100_357_4	12
contig-100_1_14	61393
contig-100_37_2	2351
contig-100_474_3	4
contig-100_8_38	1312
contig-100_17_7	6747
contig-100_86_5	1
contig-100_493_2	2409
contig-100_9_44	46
contig-100_51_3	995
contig-100_141_7	7
contig-100_17_20	215
contig-100_130_3	38
contig-100_26_9	182
contig-100_0_27	15590
contig-100_109_1	4972
contig-100_154_3	132
contig-100_11_10	1943
contig-100_21_6	76870
contig-100_534_1	11
contig-100_269_3	14
contig-100_112_4	5
contig-100_46_7	2013
contig-100_92_1	7183
contig-100_353_1	97
contig-100_23_1	65465
contig-100_4_3	5990
contig-100_12_23	400
contig-100_96_2	2814
contig-100_455_2	29
contig-100_0_6	18885
contig-100_29_10	92
contig-100_450_1	1411
contig-100_63_1	1851
contig-100_114_4	133
contig-100_12_21	721
contig-100_160_3	192
contig-100_49_5	179
contig-100_373_3	67
contig-100_2_20	1845
contig-100_62_4	88
contig-100_1_80	350
contig-100_12_10	1303
contig-100_406_1	15
contig-100_113_4	62
contig-100_3_6	13282
contig-100_0_66	1828
contig-100_134_6	4
contig-100_49_13	105
contig-100_183_2	134
contig-100_33_9	21
contig-100_279_1	305
contig-100_41_3	1353
contig-100_142_2	306
contig-100_190_1	5965
contig-100_43_8	26344
contig-100_298_1	34051
contig-100_4_26	2771
contig-100_44_12	82
contig-100_6_34	1155
contig-100_295_1	51
contig-100_11_16	1867
contig-100_82_5	119
contig-100_175_2	176
contig-100_2_59	14
contig-100_409_1	5
contig-100_343_3	6
contig-100_7_20	1186
contig-100_39_1	21890
contig-100_44_14	9
contig-100_536_2	6
contig-100_402_1	12
contig-100_4_36	1552
contig-100_10_28	101
contig-100_234_3	5
contig-100_4_15	24087
contig-100_182_4	7
contig-100_14_12	795
contig-100_410_1	6
contig-100_263_1	1143
contig-100_557_1	14
contig-100_231_3	11
contig-100_10_22	1312
contig-100_409_2	8
contig-100_9_22	1867
contig-100_1_18	32240
contig-100_30_2	116025
contig-100_29_12	12
